"name","clone_url","open_issues","url"
"question-issues-report","https://github.com/byuitechops/question-issues-report.git",0,"https://github.com/byuitechops/question-issues-report"
"Virtual-Gathering-Puppeteer","https://github.com/byuitechops/Virtual-Gathering-Puppeteer.git",4,"https://github.com/byuitechops/Virtual-Gathering-Puppeteer"
"quiz-point-values","https://github.com/byuitechops/quiz-point-values.git",0,"https://github.com/byuitechops/quiz-point-values"
"setup-instructor-resources","https://github.com/byuitechops/setup-instructor-resources.git",0,"https://github.com/byuitechops/setup-instructor-resources"
"quiz-instructions","https://github.com/byuitechops/quiz-instructions.git",0,"https://github.com/byuitechops/quiz-instructions"
"ec3-photo-loader","https://github.com/byuitechops/ec3-photo-loader.git",0,"https://github.com/byuitechops/ec3-photo-loader"
"groups-bridge","https://github.com/byuitechops/groups-bridge.git",2,"https://github.com/byuitechops/groups-bridge"
"Array-functions","https://github.com/byuitechops/Array-functions.git",0,"https://github.com/byuitechops/Array-functions"
"repair-quicklinks","https://github.com/byuitechops/repair-quicklinks.git",0,"https://github.com/byuitechops/repair-quicklinks"
"delete-this-repo","https://github.com/byuitechops/delete-this-repo.git",0,"https://github.com/byuitechops/delete-this-repo"
"d2l-login","https://github.com/byuitechops/d2l-login.git",0,"https://github.com/byuitechops/d2l-login"
"assignment-categories","https://github.com/byuitechops/assignment-categories.git",0,"https://github.com/byuitechops/assignment-categories"
"course-settings","https://github.com/byuitechops/course-settings.git",2,"https://github.com/byuitechops/course-settings"
"canvas-course-scrubber","https://github.com/byuitechops/canvas-course-scrubber.git",0,"https://github.com/byuitechops/canvas-course-scrubber"
"change-setup-notes","https://github.com/byuitechops/change-setup-notes.git",0,"https://github.com/byuitechops/change-setup-notes"
"canvas-add-student-data","https://github.com/byuitechops/canvas-add-student-data.git",4,"https://github.com/byuitechops/canvas-add-student-data"
"puppeteer-release-final-grade","https://github.com/byuitechops/puppeteer-release-final-grade.git",0,"https://github.com/byuitechops/puppeteer-release-final-grade"
"action-series-pages","https://github.com/byuitechops/action-series-pages.git",0,"https://github.com/byuitechops/action-series-pages"
"d2l-null-submit-finder","https://github.com/byuitechops/d2l-null-submit-finder.git",3,"https://github.com/byuitechops/d2l-null-submit-finder"
"prompt-for-alt-attributes","https://github.com/byuitechops/prompt-for-alt-attributes.git",3,"https://github.com/byuitechops/prompt-for-alt-attributes"
"action-series-module-items","https://github.com/byuitechops/action-series-module-items.git",2,"https://github.com/byuitechops/action-series-module-items"
"remove-blank-page-headers","https://github.com/byuitechops/remove-blank-page-headers.git",0,"https://github.com/byuitechops/remove-blank-page-headers"
"action-series-master","https://github.com/byuitechops/action-series-master.git",0,"https://github.com/byuitechops/action-series-master"
"design-lti-ng","https://github.com/byuitechops/design-lti-ng.git",16,"https://github.com/byuitechops/design-lti-ng"
"world-map-info","https://github.com/byuitechops/world-map-info.git",0,"https://github.com/byuitechops/world-map-info"
"action-series-files","https://github.com/byuitechops/action-series-files.git",0,"https://github.com/byuitechops/action-series-files"
"action-series-modules","https://github.com/byuitechops/action-series-modules.git",0,"https://github.com/byuitechops/action-series-modules"
"action-series-discussions","https://github.com/byuitechops/action-series-discussions.git",0,"https://github.com/byuitechops/action-series-discussions"
"action-series-quizzes","https://github.com/byuitechops/action-series-quizzes.git",0,"https://github.com/byuitechops/action-series-quizzes"
"action-series-quiz-questions","https://github.com/byuitechops/action-series-quiz-questions.git",0,"https://github.com/byuitechops/action-series-quiz-questions"
"action-series-assignments","https://github.com/byuitechops/action-series-assignments.git",0,"https://github.com/byuitechops/action-series-assignments"
"d3-countries-map","https://github.com/byuitechops/d3-countries-map.git",5,"https://github.com/byuitechops/d3-countries-map"
"ning-scraper","https://github.com/byuitechops/ning-scraper.git",2,"https://github.com/byuitechops/ning-scraper"
"do-you-know-the-async-node-pattern","https://github.com/byuitechops/do-you-know-the-async-node-pattern.git",0,"https://github.com/byuitechops/do-you-know-the-async-node-pattern"
"logger","https://github.com/byuitechops/logger.git",1,"https://github.com/byuitechops/logger"
"course-sync-blueprint","https://github.com/byuitechops/course-sync-blueprint.git",0,"https://github.com/byuitechops/course-sync-blueprint"
"byui-canvas-theme","https://github.com/byuitechops/byui-canvas-theme.git",14,"https://github.com/byuitechops/byui-canvas-theme"
"canvas-quiz-search-tool","https://github.com/byuitechops/canvas-quiz-search-tool.git",0,"https://github.com/byuitechops/canvas-quiz-search-tool"
"fix-canvas-quizzes-with-update-hack","https://github.com/byuitechops/fix-canvas-quizzes-with-update-hack.git",1,"https://github.com/byuitechops/fix-canvas-quizzes-with-update-hack"
"course-make-backup","https://github.com/byuitechops/course-make-backup.git",0,"https://github.com/byuitechops/course-make-backup"
"canvas-copy-groups","https://github.com/byuitechops/canvas-copy-groups.git",0,"https://github.com/byuitechops/canvas-copy-groups"
"fix-broken-eyes","https://github.com/byuitechops/fix-broken-eyes.git",1,"https://github.com/byuitechops/fix-broken-eyes"
"generate-headers","https://github.com/byuitechops/generate-headers.git",1,"https://github.com/byuitechops/generate-headers"
"canvas-make-sections","https://github.com/byuitechops/canvas-make-sections.git",0,"https://github.com/byuitechops/canvas-make-sections"
"ec3-csv-to-canvas","https://github.com/byuitechops/ec3-csv-to-canvas.git",9,"https://github.com/byuitechops/ec3-csv-to-canvas"
"code-design-word-search","https://github.com/byuitechops/code-design-word-search.git",0,"https://github.com/byuitechops/code-design-word-search"
"projects","https://github.com/byuitechops/projects.git",302,"https://github.com/byuitechops/projects"
"course-description","https://github.com/byuitechops/course-description.git",0,"https://github.com/byuitechops/course-description"
"BYUI-Canvas-Admin-Tools","https://github.com/byuitechops/BYUI-Canvas-Admin-Tools.git",0,"https://github.com/byuitechops/BYUI-Canvas-Admin-Tools"
"katana","https://github.com/byuitechops/katana.git",68,"https://github.com/byuitechops/katana"
"report-html-tags","https://github.com/byuitechops/report-html-tags.git",0,"https://github.com/byuitechops/report-html-tags"
"add-course-maintenance-log","https://github.com/byuitechops/add-course-maintenance-log.git",0,"https://github.com/byuitechops/add-course-maintenance-log"
"EC3-course-portal-with-CSS-framework","https://github.com/byuitechops/EC3-course-portal-with-CSS-framework.git",2,"https://github.com/byuitechops/EC3-course-portal-with-CSS-framework"
"icebreaker-discussion","https://github.com/byuitechops/icebreaker-discussion.git",0,"https://github.com/byuitechops/icebreaker-discussion"
"canvas-question-banks","https://github.com/byuitechops/canvas-question-banks.git",1,"https://github.com/byuitechops/canvas-question-banks"
"pin-discussion-boards","https://github.com/byuitechops/pin-discussion-boards.git",0,"https://github.com/byuitechops/pin-discussion-boards"
"course-standards-checker","https://github.com/byuitechops/course-standards-checker.git",3,"https://github.com/byuitechops/course-standards-checker"
"delete-this-repository","https://github.com/byuitechops/delete-this-repository.git",0,"https://github.com/byuitechops/delete-this-repository"
"list-module-items","https://github.com/byuitechops/list-module-items.git",0,"https://github.com/byuitechops/list-module-items"
"csv-to-css","https://github.com/byuitechops/csv-to-css.git",1,"https://github.com/byuitechops/csv-to-css"
